X,ND5,ND10,ND15,ND20,ND25,ND30,ND35,ND40,ND45,ND50,ND55
t4 d7 c5,407982,408081,407976,407974,407964,408012,407957,407958,408080,407951,408122
t4 d7 c6,418777,418840,418835,418898,418635,418890,418759,418893,418926,418761,418737
t4 d7 c7,429051,428838,428929,428752,428994,428869,428906,428736,428890,428987,428891
t5 d1 c0,111791,111843,111862,111846,111822,111914,111779,111767,111830,111861,111811
t5 d1 c1,186826,186823,186850,186724,186824,186784,186816,186809,186704,186773,186767
t5 d2 c0,186782,186739,186729,186766,186716,186746,186728,186861,186758,186876,186762
t5 d2 c1,242004,241990,242143,242131,242099,241960,242040,242024,241946,241948,242071
t5 d2 c2,280382,280346,280391,280478,280488,280416,280495,280370,280286,280628,280517
t5 d3 c0,241919,242018,242072,242080,242029,242152,242071,242035,242083,242198,242040
t5 d3 c1,280523,280399,280310,280291,280468,280582,280494,280354,280398,280408,280370
t5 d3 c2,302500,302511,302497,302479,302479,302613,302454,302456,302341,302566,302536
t5 d3 c3,343190,343213,343255,343143,343547,343318,343376,343165,343139,343143,343141
t5 d4 c0,280418,280337,280247,280286,280460,280387,280405,280441,280392,280461,280393
t5 d4 c1,302456,302407,302558,302552,302501,302545,302372,302473,302539,302590,302475
t5 d4 c2,343281,342937,343140,343138,343378,343115,343138,343203,343149,343115,343204
t5 d4 c3,375452,375450,375397,375353,375388,375349,375423,375365,375439,375351,375446
t5 d4 c4,401784,401662,401704,401761,401714,401764,401489,401647,401564,401841,401671
t5 d5 c0,302492,302544,302372,302585,302497,302530,302464,302467,302618,302602,302713
t5 d5 c1,343365,343187,343267,343179,343335,343214,343210,343213,342947,343146,343143
t5 d5 c2,375344,375629,375393,375435,375494,375460,375572,375435,375408,375365,375526
t5 d5 c3,401511,401518,401795,401498,401700,401599,401509,401647,401574,401783,401528
t5 d5 c4,423766,423871,423668,423803,423736,423645,423773,423668,423714,423818,423580
t5 d5 c5,442903,442856,442914,442864,442584,442749,442692,442674,442953,442710,442799
t5 d6 c0,343154,343174,343112,343237,343232,343224,343135,343193,343384,343185,343262
t5 d6 c1,375328,375398,375477,375375,375440,375409,375482,375345,375356,375335,375416
t5 d6 c2,401640,401721,401688,401679,401680,401644,401680,401689,401653,401623,401706
t5 d6 c3,423757,423636,423792,423634,423694,423645,423826,423777,423702,423667,423682
t5 d6 c4,442957,442776,442683,442880,442661,442846,442665,442912,442863,442934,442867
t5 d6 c5,459620,459594,459833,459585,459480,459416,459453,459706,459606,459520,459438
t5 d6 c6,474667,474608,474653,474713,474796,474528,474685,474461,474548,474424,474674
t5 d7 c0,375343,375269,375451,375271,375461,375362,375314,375416,375395,375381,375363
t5 d7 c1,401660,401542,401450,401713,401515,401676,401537,401708,401761,401655,401695
t5 d7 c2,423797,423796,423878,423778,423712,423670,423675,423835,423774,423682,423744
t5 d7 c3,442729,442848,442884,442902,442750,442852,442765,442588,442865,442774,443026
t5 d7 c4,459658,459745,459324,459512,459516,459670,459480,459658,459626,459682,459605
t5 d7 c5,474488,474644,474491,474720,474691,474689,474640,474425,474599,474664,474514
